AberdeenWeeklyJournal	AberdeenJournal
TheAberdeenJournal	AberdeenJournal
BaneracAmserauCymru	Baner
BanerCymru	Baner
TheBelfastNews-Letter	BelfastNews-Letter
BirminghamDailyPost	BirminghamDailyPost
BrightonPatriotandLewesFreePressetc	BrightonPatriot
BrightonPatriotandSouthofEnglandFreePress	BrightonPatriot
TheBristolMercury	BristolMercury
TheBristolMercuryandDailyPost	BristolMercury
CaledonianMercury	CaledonianMercury
TheCaledonianMercury	CaledonianMercury
TheCaledonianMercuryandDailyExpress	CaledonianMercury
TheChampion	Champion
TheChampionandWeeklyHerald	Champion
ChartistCircular	ChartistCircular
TheChartistCircular	ChartistCircular
Cobbett'sAnnualRegister	Cobbet'sWeeklyPoliticalRegister
Cobbett'sWeeklyPoliticalRegister	Cobbet'sWeeklyPoliticalRegister
DailyNews	DailyNews
TheDerbyMercury	DerbyMercury
TheExaminer	Examiner
Freeman'sJournalandDailyCommercialAdvertiser	Freeman'sJournal
Genedl   	Genedl
GlasgowHerald	GlasgowHerald
Goleuad      	Goleuad
TheGraphic	Graphic
HampshirePortsmouthTelegraph	HampshirePortsmouthTelegraph
HampshireTelegraph&PortsmouthGazette	HampshirePortsmouthTelegraph
HampshireTelegraphandSussexChronicleetc	HampshirePortsmouthTelegraph
Mottley'sNavalandMilitaryJournal	HampshirePortsmouthTelegraph
Mottley'sTelegraphandPortsmouthGazette	HampshirePortsmouthTelegraph
PortsmouthTelegraphorMottley'sNavalandMilitaryJournal	HampshirePortsmouthTelegraph
HullPacket	HullPacket
TheHullPacket	HullPacket
TheHullPacketandEastRidingTimes	HullPacket
TheHullPacketandHumberMercury	HullPacket
TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser	HullPacket
TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser HullPacket
TheIllustratedPoliceNewsetc	IllustratedPoliceNews
TheIpswichJournal	IpswichJournal
Jackson'sOxfordJournal	Jackson'sOxfordJournal
TheLeedsMercury	LeedsMercury
LiverpoolMercuryetc	LiverpoolMercury
Lloyd'sIllustratedLondonNewspaper	Lloyd'sIllustratedNewspaper
Lloyd'sWeeklyLondonNewspaper	Lloyd'sIllustratedNewspaper
Lloyd'sWeeklyNewspaper	Lloyd'sIllustratedNewspaper
LondonDispatch     	LondonDispatch
ManchesterTimes	ManchesterTimes
TheManchesterTimes	ManchesterTimes
TheManchesterTimesandGazette	ManchesterTimes
TheManchesterTimesandManchesterandSalfordAdvertiserandChronicle	ManchesterTimes
MorningChronicle	MorningChronicle
TheMorningChronicle	MorningChronicle
TheNewcastleCourantetc	NewcastleCourant
NorthWalesChronicle	NorthWalesChronicle
NorthernEcho	NorthernEcho
NorthernLiberator    	NorthernLiberator
TheNorthernStarandLeedsGeneralAdvertiser	NorthernStar
TheNorthernStarandNationalTrades'Journal	NorthernStar
TheOddFellow	OddFellow
TheOperative	Operative
ThePallMallGazette	PallMallGazette
ThePoorMan'sGuardian	PoorMan'sGuardian
PrestonChronicle	PrestonChronicle
ThePrestonGuardianetc	PrestonChronicle
Reynolds'sNewspaper	Reynold'sNewspaper
Reynolds'sWeeklyNews	Reynold'sNewspaper
TheStarandNationalTrades'Journal	SouthernStar
TheStarofFreedom	SouthernStar
TheCharter	TheCharter
TheChartist	Chartist
TheEra	TheEra
ThePennyIllustratedPaper  	ThePennyIllustratedPaper
Times	TheTimes
Trewman'sExeterFlyingPost	Trewman'sExeterFlyingPost
Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	Trewman'sExeterFlyingPost
WesternMail	WesternMail
